"gene set","p-value","fdr"
"Steroid biosynthesis","0.994922323762093      .","1      ."
"Photosynthesis protein - Photosystem I (P700 chlorophyll a)","0.994922323762093      .","1      ."
"Cofactors and vitamin metabolism - Thiamine metabolism","0.994922323762093      .","1      ."
"Transcription factors - ARF","0.99540625330316      .","1      ."
"Photosynthesis - antenna proteins","0.995848588201016      .","1      ."
"Transporter catalog - Transport electron carriers","0.996252422598747      .","1      ."
"Energy metabolism - Photosynthesis antenna proteins","0.996620668945181      .","1      ."
"Transcription factors - AUXIAA","0.996620668945181      .","1      ."
"ABCB (MDR/TAP) subfamily","0.996956063972201      .","1      ."
"Transcription factors - C2C2-CO","0.996956063972201      .","1      ."
"Hormone signaling - Cytokinin signaling","0.997538406118958      .","1      ."
