"gene set","p-value","fdr"
"Glycan biosynthesis and metabolism - N-Glycan degradation","0.989118184008162      .","1      ."
"Cytoskeleton - Microtubules","0.990069705928641      .","1      ."
"Replication protein - DNA Replication Initiation Factors","0.990069705928641      .","1      ."
"Hormone signaling - Gibberellin signaling","0.990069705928641      .","1      ."
"Transcription factors - MTERF","0.990947764720222      .","1      ."
"Fatty acid biosynthesis","0.992502112875202      .","1      ."
"Cell growth and death - Cell cycle","0.992502112875202      .","1      ."
"Transcription factors - GRF","0.993816362256696      .","1      ."
"Enzyme - 3.2  Glycosylases","0.994393518098453      .","1      ."
"Cilium and associated proteins - Stereociliary proteins","0.99540625330316      .","1      ."
"Enzyme - 1.3  Acting on the CH-CH group of donors","0.99540625330316      .","1      ."
"Base excision repair","0.997261174944037      .","1      ."
"Repair protein - SSBR (single strand breaks repair)","0.997790005367622      .","1      ."
"Transcription factors - HMG","0.998224558027613      .","1      ."
